Product Description,Product Name,ID,Unit Price,Category,Stock Quantity,Inventory Value,Photo's Link,Ingredients
Bleach,Dolux Bleach Classic Stain Remover | 250ml,000-046,₱11.00,Household Care,0,₱0.00,https://cdn.shortpixel.ai/spai/q_lossy+ret_img+to_webp/https://salangikopu.com/wp-content/uploads/2020/09/Dolux-Bleach-Classic-Stain-Remover-250-ML-Main.png,
Tissue,Femme Bathroom Tissue 2 ply roll,000-047,₱10.00,Household Care,36,₱360.00,https://cf.shopee.ph/file/8762716b67b69a9e4e12e37db5d225d4,
Paper & Plastic Household Supplies,My Everyday Fork White Medium 25's,000-048,₱12.00,Household Care,25,₱300.00,https://cf.shopee.ph/file/7568c2502f88b90f8a1cc120bec074ab,
Paper & Plastic Household Supplies,My Everyday Spoon White Medium 25's,000-049,₱12.00,Household Care,6,₱72.00,https://getgrocery.ph/wp-content/uploads/2020/06/My-Everyday-Spoon-White-25s.jpg,
Paper & Plastic Household Supplies,My Everyday Paper Plate 9 Silver 25's,000-050,₱12.00,Household Care,6,₱72.00,https://cf.shopee.ph/file/42e5311303da0b615b3dc831be2fac93,
Canned Goods,555 Sardines In Tomato Sauce With Chili 155g,000-051,₱21.00,Food,12,₱252.00,https://mygroceryph.com/pub/media/catalog/product/cache/df61fe7b2c0c7a668d5b544dbf4eede2/5/5/555_sardines_in_tomato_sauce_chili_155g.png,"Sardines, Tomato Sauce (Water, Tomato Paste), Thickeners (Cornstarch, Tapioca Starch, Xanthan Gum), Salt, Sugar, Seasonings (Garlic, Cinnamon, Ginger, Paprika), Soybean Oil and Monosodium Glutamate,Chilli."
Canned Goods,555 Sardines In Tomato Sauce 155g,000-052,₱21.00,Food,12,₱252.00,https://cf.shopee.ph/file/2390b8c13754a031fdb535ccdf38876d,"Sardines, Tomato Sauce (Water, Tomato Paste), Thickeners (Cornstarch, Tapioca Starch, Xanthan Gum), Salt, Sugar, Seasonings (Garlic, Cinnamon, Ginger, Paprika), Soybean Oil and Monosodium Glutamate."
Canned Goods,Ligo Sardines Green Easy Open 155g,000-053,₱21.00,Food,12,₱252.00,https://cdn.shopify.com/s/files/1/0260/6877/9066/products/487345_3fbe6bab-758d-4b55-83c6-67ecdeceeaab_700x700.jpg?v=1627719530,"Sardines, Tomato Sauce Which is Made from Tomato Paste and Water, Modified Cornstarch, Iodized Salt (Salt + Potassium Iodate, Sugar, Onion Powder, Garlic Powder"
Canned Goods,Ligo Sardines Red Easy Open 155g,000-054,₱21.00,Food,12,₱252.00,https://cdn.shopify.com/s/files/1/0441/4776/9509/products/Ligo_Sardines_T_S_W_Chili_Red_Easy_Open_155g_300x300.jpg?v=1603363293,"Sardines, Tomato Sauce Which is Made from Tomato Paste and Water, Modified Cornstarch, Iodized Salt (Salt + Potassium Iodate, Sugar, Onion Powder, Garlic Powder, Chili."
Canned Goods,Ligo Sardines Green 425g,000-055,₱21.00,Food,3,₱63.00,https://ph-test-11.slatic.net/p/bc1211fe7162e52db28f350940b68a9f.jpg,"Sardines, Tomato Sauce Which is Made from Tomato Paste and Water, Modified Cornstarch, Iodized Salt (Salt + Potassium Iodate, Sugar, Onion Powder, Garlic Powder"
Canned Goods,Ligo Sardines Red 425g,000-056,₱21.00,Food,3,₱63.00,https://ph-test-11.slatic.net/p/mdc/e55ad29bf955be2cc2b00ad737c01fee.jpg,"Sardines, Tomato Sauce Which is Made from Tomato Paste and Water, Modified Cornstarch, Iodized Salt (Salt + Potassium Iodate, Sugar, Onion Powder, Garlic Powder, Chili."
Canned Goods,Master Sardines Green Easy Open 155g,000-057,₱21.00,Food,12,₱252.00,https://cdn.shopify.com/s/files/1/0094/9354/5024/products/4806504710119_580x.png?v=1572150190,"Tomato Sauce Which is Made from Tomato Paste and Water, Modified Cornstarch, Iodized Salt (Salt + Potassium Iodate, Sugar, Onion Powder, Garlic Powder"
Canned Goods,Master Sardines Red Easy Open 155g,000-058,₱21.00,Food,12,₱252.00,https://www.crempcoop.com/wp-content/uploads/2019/07/MASTER-SADINES-HOT-EASY-OPEN-155G.png,"Tomato Sauce Which is Made from Tomato Paste and Water, Modified Cornstarch, Iodized Salt (Salt + Potassium Iodate, Sugar, Onion Powder, Garlic Powder, Chili."
Canned Goods,Mega Sardines Hot Easy Open 155g,000-059,₱21.00,Food,12,₱252.00,https://cdn.shopify.com/s/files/1/0379/4249/3323/products/TSC-number-1-min_1024x1024.png?v=1585890845,"MACKEREL, TOMATO SAUCE, WATER, IODIZED SALT, CHILI POWDER"
Canned Goods,Mega Sardines Tomato Easy Open 155g,000-060,₱21.00,Food,12,₱252.00,https://cf.shopee.ph/file/a1fb0283c063589999e408a94371506f,"SARDINES, WATER, TOMATO PASTE, MODIFIED STARCH, IODIZED SALT, SUGAR, GARLIC POWDER, ONION POWDER AND XANTHAN GUM"
